id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19
20188190-20188190_analysis_0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_4	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20923708-20923708_analysis_0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20923708-20923708_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20977559-20977559_analysis_0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20977559-20977559_analysis_1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21249224-21249224_analysis_0	0	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21320516-21320516_analysis_0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21320516-21320516_analysis_1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21569855-21569855_analysis_0	1	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21600991-21600991_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21600991-21600991_analysis_1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21664277-21664277_analysis_0	1	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21664277-21664277_analysis_1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_2	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
21981758-21981758_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22003388-22003388_analysis_0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22003388-22003388_analysis_1	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22003388-22003388_analysis_2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22003388-22003388_analysis_3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22019860-22019860_analysis_0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22019860-22019860_analysis_1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22174872-22174872_analysis_0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22174872-22174872_analysis_1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22174872-22174872_analysis_2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_0	2	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22439896-22439896_analysis_0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22439896-22439896_analysis_2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22439896-22439896_analysis_3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_analysis_1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_analysis_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22905026-22905026_analysis_0	0	3	10	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23063451-23063451_analysis_6	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
23110882-23110882_analysis_0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
