id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
24361634-24361634_analysis_0	4	0	0	0	0	0	0	0	0	0	0
24361634-24361634_analysis_1	11	0	0	0	0	0	0	0	0	0	0
24361634-24361634_analysis_2	1	0	0	0	0	0	0	0	0	0	0
24361634-24361634_analysis_3	2	0	0	0	0	0	0	0	0	0	0
24361634-24361634_analysis_4	2	0	0	0	0	0	0	0	0	0	0
24465445-24465445_analysis_0	25	2	2	0	0	0	0	0	0	0	2
24465445-24465445_analysis_1	16	1	1	0	0	0	0	0	0	0	0
24505440-24505440_analysis_0	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_0	5	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_1	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_10	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_11	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_12	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_13	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_14	2	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_2	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_3	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_4	6	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_5	0	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_6	5	0	0	0	0	1	0	0	0	0	0
24583185-24583185_analysis_7	4	0	0	0	0	1	0	0	0	0	0
24583185-24583185_analysis_8	4	0	0	0	0	0	0	0	0	0	0
24583185-24583185_analysis_9	0	0	0	0	0	0	0	0	0	0	0
24683509-24683509_analysis_0	1	0	0	0	0	0	0	0	0	0	0
24838032-24838032_analysis_0	2	0	0	0	0	0	0	0	0	0	0
24838032-24838032_analysis_1	7	0	0	0	0	0	0	0	0	0	0
24838032-24838032_analysis_2	2	1	0	0	0	0	0	0	0	0	0
24914005-24914005_analysis_0	1	0	0	0	0	0	0	0	0	0	0
24914005-24914005_analysis_1	0	1	0	0	0	0	0	0	0	0	0
24914005-24914005_analysis_2	1	0	0	0	0	0	0	0	0	0	0
24939441-24939441_analysis_0	0	0	0	0	0	0	0	0	0	0	0
24939441-24939441_analysis_1	2	0	0	0	0	0	0	0	0	0	0
24939441-24939441_analysis_2	3	0	0	0	0	0	0	0	0	0	0
24939441-24939441_analysis_3	1	0	0	0	0	0	0	0	0	0	0
24944870-24944870_analysis_0	8	1	0	0	0	0	0	0	0	0	0
25035299-25035299_analysis_0	2	0	0	0	0	0	0	0	0	0	0
25214465-25214465_analysis_0	16	1	0	0	0	0	0	0	0	0	0
25214465-25214465_analysis_1	1	0	0	0	0	0	0	0	0	0	0
25228353-25228353_analysis_0	3	0	0	0	0	0	0	0	0	0	0
