id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
22580204-22580204_analysis_2	3	0	0	0	0	0	0	0
22580204-22580204_analysis_3	1	0	0	0	0	0	0	0
22580204-22580204_analysis_4	5	0	0	0	0	0	0	0
22580204-22580204_analysis_5	5	0	0	0	0	0	0	0
22580204-22580204_analysis_6	0	0	0	0	0	0	0	0
22580204-22580204_analysis_7	2	0	0	0	0	0	0	0
22580204-22580204_analysis_8	0	0	0	0	0	0	0	0
22580204-22580204_analysis_9	2	0	0	0	0	0	0	0
22591950-22591950_analysis_0	7	0	0	0	0	0	0	0
22591950-22591950_analysis_2	1	0	0	0	0	0	0	0
22591950-22591950_analysis_3	1	0	0	0	0	0	0	0
22759909-22759909_analysis_0	29	0	0	0	0	0	0	0
22759909-22759909_analysis_1	18	0	0	0	0	1	0	0
22850734-22850734_analysis_0	1	0	0	0	0	0	0	0
22860092-22860092_analysis_0	1	0	0	0	0	0	0	0
22860092-22860092_analysis_1	1	0	0	0	0	0	0	0
22860092-22860092_analysis_10	0	0	0	0	0	0	0	0
22860092-22860092_analysis_11	0	0	0	0	0	0	0	0
22860092-22860092_analysis_2	3	0	0	0	0	0	0	0
22860092-22860092_analysis_3	0	0	0	0	0	0	0	0
22860092-22860092_analysis_4	0	0	0	0	0	0	0	0
22860092-22860092_analysis_5	0	0	0	0	0	0	0	0
22860092-22860092_analysis_6	3	0	0	0	0	0	0	0
22860092-22860092_analysis_8	0	0	0	0	0	0	0	0
22860092-22860092_analysis_9	1	0	0	0	0	0	0	0
22890475-22890475_analysis_0	0	0	0	0	0	0	0	0
22890475-22890475_analysis_1	0	0	0	0	0	0	0	0
22890475-22890475_analysis_2	4	0	0	0	0	0	0	0
22890475-22890475_analysis_3	0	0	0	0	0	0	0	0
22890475-22890475_analysis_4	2	0	0	0	0	0	0	0
22921709-22921709_analysis_0	4	0	0	0	0	0	0	0
22957019-22957019_analysis_0	0	0	0	0	0	0	0	0
22957019-22957019_analysis_1	4	0	0	0	0	0	0	0
22957019-22957019_analysis_2	1	0	0	0	0	0	0	0
22974271-22974271_analysis_0	9	0	0	0	0	0	0	0
23078363-23078363_analysis_0	4	0	0	0	0	0	0	0
23078363-23078363_analysis_1	0	0	0	0	0	0	0	0
23078363-23078363_analysis_2	2	0	0	0	0	0	0	0
23078363-23078363_analysis_3	2	0	0	0	0	0	0	0
23128082-23128082_analysis_0	16	0	0	0	0	0	0	0
23128082-23128082_analysis_1	3	0	0	0	0	0	0	0
23128082-23128082_analysis_2	1	0	0	0	0	0	0	0
23131612-23131612_analysis_0	0	0	0	0	0	0	0	0
23131612-23131612_analysis_1	1	0	0	0	0	0	0	0
23188041-23188041_analysis_0	3	0	0	0	0	0	0	0
23188041-23188041_analysis_1	3	0	0	0	0	0	0	0
23221317-23221317_analysis_0	0	0	0	0	0	0	0	0
23221317-23221317_analysis_1	0	0	0	0	0	0	0	0
23221317-23221317_analysis_2	1	0	0	0	0	0	0	0
23221317-23221317_analysis_3	2	0	0	0	0	0	0	0
23221317-23221317_analysis_4	1	0	0	0	0	0	0	0
23221317-23221317_analysis_5	2	0	0	0	0	0	0	0
23221317-23221317_analysis_6	1	0	0	0	0	0	0	0
23221317-23221317_analysis_7	1	0	0	0	0	0	0	0
23221317-23221317_analysis_8	0	0	0	0	0	0	0	0
23221317-23221317_analysis_9	0	0	0	0	0	0	0	0
23245948-23245948_analysis_0	9	0	0	0	0	0	0	0
23245948-23245948_analysis_1	5	0	0	0	0	0	0	0
23245948-23245948_analysis_2	4	0	0	0	0	0	0	0
23245948-23245948_analysis_3	2	0	0	0	0	0	0	0
23245948-23245948_analysis_4	2	0	0	0	0	0	0	0
23261871-23261871_analysis_0	2	1	0	0	0	0	0	0
23261871-23261871_analysis_1	0	0	0	0	0	0	0	0
23261871-23261871_analysis_2	0	0	0	0	0	0	0	0
23261871-23261871_analysis_3	0	0	0	0	0	0	0	0
23261871-23261871_analysis_4	1	0	0	0	0	0	0	0
23261871-23261871_analysis_5	2	0	0	0	0	0	0	0
23261871-23261871_analysis_6	2	0	0	0	0	0	0	0
